episode,score,ma,std
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.20000000298023224,0.002816901450425806,0.023567888422571306
71,0.10000000149011612,0.004166666728754838,0.026020825381067165
72,0.0,0.0041095891023335395,0.025846524034613363
73,0.0,0.004054054114464167,0.02567567605827306
74,0.0,0.004000000059604645,0.025508169006379984
75,0.0,0.003947368479873005,0.025343895488519546
76,0.10000000149011612,0.005194805272213825,0.027426899216410658
77,0.0,0.005128205204621339,0.027256784541374788
78,0.10000000149011612,0.006329114018361779,0.029086393580449028
79,0.0,0.0062500000931322575,0.028912584196382016
80,0.0,0.006172839598155316,0.028741844198219724
81,0.0,0.006097561066470495,0.028574084605933327
82,0.0,0.0060240964753081995,0.028409219995743848
83,0.0,0.00595238104107834,0.028247168320212443
84,0.0,0.00588235302883036,0.028087850739278813
85,0.0,0.005813953575006751,0.027931191461473024
86,0.0,0.005747126522420466,0.02777711759458848
87,0.0,0.0056818182664838705,0.027625559005160217
88,0.0,0.005617977611804276,0.027476448186144427
89,0.0,0.005555555638339784,0.02732972013224199
90,0.0,0.0054945055763800064,0.02718531222235201
91,0.0,0.0054347826896802235,0.027043164108680476
92,0.0,0.005376344166135276,0.0269032176120651
93,0.0,0.0053191490154317084,0.026765416623110508
94,0.0,0.005263157973164006,0.0266297070087578
95,0.0,0.005208333410943548,0.026496036523940253
96,0.0,0.005154639252067841,0.026364354728002633
97,0.0,0.005102040892352863,0.026234612905584234
98,0.0,0.005050505125763441,0.026106763991687938
99,0.0,0.005000000074505806,0.02598076250067668
100,0.0,0.005000000074505806,0.02598076250067668
101,0.0,0.005000000074505806,0.02598076250067668
102,0.0,0.005000000074505806,0.02598076250067668
103,0.0,0.005000000074505806,0.02598076250067668
104,0.0,0.005000000074505806,0.02598076250067668
105,0.0,0.005000000074505806,0.02598076250067668
106,0.0,0.005000000074505806,0.02598076250067668
107,0.0,0.005000000074505806,0.02598076250067668
108,0.0,0.005000000074505806,0.02598076250067668
109,0.0,0.005000000074505806,0.02598076250067668
110,0.0,0.005000000074505806,0.02598076250067668
111,0.0,0.005000000074505806,0.02598076250067668
112,0.0,0.005000000074505806,0.02598076250067668
113,0.0,0.005000000074505806,0.02598076250067668
114,0.0,0.005000000074505806,0.02598076250067668
115,0.0,0.005000000074505806,0.02598076250067668
116,0.0,0.005000000074505806,0.02598076250067668
117,0.0,0.005000000074505806,0.02598076250067668
118,0.0,0.005000000074505806,0.02598076250067668
119,0.0,0.005000000074505806,0.02598076250067668
120,0.0,0.005000000074505806,0.02598076250067668
121,0.0,0.005000000074505806,0.02598076250067668
122,0.0,0.005000000074505806,0.02598076250067668
123,0.0,0.005000000074505806,0.02598076250067668
124,0.0,0.005000000074505806,0.02598076250067668
125,0.0,0.005000000074505806,0.02598076250067668
126,0.0,0.005000000074505806,0.02598076250067668
127,0.10000000149011612,0.006000000089406967,0.0276405503340468
128,0.10000000149011612,0.007000000104308128,0.029171904726324888
129,0.0,0.007000000104308128,0.029171904726324888
130,0.0,0.007000000104308128,0.029171904726324888
131,0.0,0.007000000104308128,0.029171904726324888
132,0.0,0.007000000104308128,0.029171904726324888
133,0.0,0.007000000104308128,0.029171904726324888
134,0.0,0.007000000104308128,0.029171904726324888
135,0.10000000149011612,0.00800000011920929,0.030594117537444582
136,0.10000000149011612,0.009000000134110451,0.03192177987469631
137,0.0,0.009000000134110451,0.03192177987469631
138,0.0,0.009000000134110451,0.03192177987469631
139,0.0,0.009000000134110451,0.03192177987469632
140,0.10000000149011612,0.010000000149011612,0.0331662483977696
141,0.0,0.010000000149011612,0.0331662483977696
142,0.10000000149011612,0.011000000163912773,0.03433656993843355
143,0.10000000149011612,0.012000000178813934,0.0354400908214372
144,0.0,0.012000000178813934,0.0354400908214372
145,0.10000000149011612,0.013000000193715095,0.03648287323754656
146,0.10000000149011612,0.014000000208616257,0.03746998854873672
