episode,score,ma,std
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.10000000149011612,0.007142857249294009,0.025753938065649216
14,0.0,0.0066666667660077415,0.024944382950193206
15,0.0,0.0062500000931322575,0.024206146274496035
16,0.0,0.00588235302883036,0.023529412115321443
17,0.0,0.005555555638339784,0.022906142705870675
18,0.0,0.005263157973164006,0.02232968815968188
19,0.0,0.005000000074505806,0.021794495042466642
20,0.0,0.004761904832862672,0.02129588581733142
21,0.0,0.004545454613187097,0.02082988983291609
22,0.0,0.004347826151744179,0.02039311230311336
23,0.0,0.004166666728754838,0.01998263164490074
24,0.0,0.004000000059604645,0.01959591823426736
25,0.0,0.0038461539034660044,0.01923076951733002
26,0.0,0.0037037037588931896,0.01888525773916332
27,0.10000000149011612,0.007142857249294009,0.02575393806564922
28,0.0,0.00689655182690456,0.02533954944086296
29,0.0,0.0066666667660077415,0.024944382950193206
30,0.0,0.0064516129993623305,0.02456701038499281
31,0.0,0.0062500000931322575,0.024206146274496035
32,0.0,0.006060606150916128,0.023860630276799008
33,0.0,0.00588235302883036,0.023529412115321446
34,0.0,0.005714285799435207,0.023211538644838756
35,0.0,0.005555555638339784,0.022906142705870672
36,0.0,0.005405405485952222,0.022612433486521123
37,0.0,0.005263157973164006,0.022329688159681883
38,0.0,0.005128205204621339,0.02205724460314682
39,0.10000000149011612,0.007500000111758709,0.02633913477461553
40,0.4000000059604645,0.017073170986117388,0.06589881115809708
41,0.0,0.016666666915019352,0.0651615827967166
42,0.0,0.016279070010018902,0.06444840310245378
43,0.0,0.01590909114615484,0.06375800158236615
44,0.0,0.015555555787351396,0.06308919901378404
45,0.0,0.015217391531104628,0.062440899262376975
46,0.0,0.014893617243208784,0.061812081969301366
47,0.0,0.014583333550641933,0.06120179600184607
48,0.0,0.014285714498588018,0.06060915357627939
49,0.0,0.014000000208616257,0.06003332497378078
50,0.0,0.013725490400604173,0.059473533780746664
51,0.0,0.013461538662131015,0.05892905259366731
52,0.0,0.01320754736661911,0.0583991991364127
53,0.0,0.012962963156126163,0.05788333274433548
54,0.0,0.01272727291692387,0.057380851175257645
55,0.0,0.012500000186264515,0.05689118771229471
56,0.0,0.012280701937382682,0.056413808527696244
57,0.0,0.012068965697082979,0.05594821028054829
58,0.0,0.011864406956454455,0.05549391792436414
59,0.0,0.011666666840513547,0.055050482703361915
60,0.0,0.011475410007062505,0.05461748031864315
61,0.0,0.011290322748884078,0.05419450924759801
62,0.0,0.011111111276679568,0.05378118920171143
63,0.0,0.01093750016298145,0.05337715970956516
64,0.0,0.010769230929704813,0.052982078813256214
65,0.10000000149011612,0.012121212301832256,0.053697107305207874
66,0.0,0.011940298685386999,0.05331513840488059
67,0.0,0.01176470605766072,0.05294117725947324
68,0.0,0.01159420307131781,0.052574949036230834
69,0.0,0.011428571598870414,0.05221619187093065
70,0.10000000149011612,0.012676056526916129,0.05288727784588068
71,0.0,0.012500000186264515,0.052539668336729094
72,0.0,0.012328767307000617,0.052198792238802465
73,0.0,0.0121621623433925,0.0518644360766119
74,0.0,0.012000000178813934,0.05153639567485264
75,0.0,0.011842105439619013,0.051214475647440846
76,0.0,0.011688311862481105,0.050898488920174956
77,0.0,0.011538461710398015,0.05058825628446185
78,0.0,0.011392405233051203,0.05028360597976817
79,0.0,0.011250000167638063,0.0499843733026557
80,0.0,0.011111111276679568,0.04969040024043998
81,0.0,0.01097560991964689,0.0494015351276746
82,0.0,0.01084337365555476,0.049117632323812166
83,0.0,0.010714285873941012,0.04883855191052735
84,0.0,0.010588235451894648,0.04856415940731011
85,0.10000000149011612,0.011627907150013501,0.049223280939336894
86,0.0,0.011494253044840932,0.04895526380775889
87,0.0,0.011363636532967741,0.04869155819289836
88,0.0,0.011235955223608552,0.04843205029978886
89,0.0,0.011111111276679568,0.048176630470507284
90,0.0,0.010989011152760013,0.047925192994045476
91,0.0,0.010869565379360447,0.04767763592667236
92,0.0,0.010752688332270551,0.047433860922115885
93,0.0,0.010638298030863417,0.047193773070941664
94,0.0,0.010526315946328012,0.046957280748550566
95,0.0,0.010416666821887096,0.04672429547125834
96,0.0,0.010309278504135683,0.046494731759958184
97,0.0,0.010204081784705726,0.046268507010901946
98,0.0,0.010101010251526881,0.046045541373168304
99,0.0,0.010000000149011612,0.0458257576324154
100,0.10000000149011612,0.011000000163912773,0.04667976076351785
101,0.0,0.011000000163912773,0.04667976076351785
102,0.0,0.011000000163912773,0.04667976076351785
103,0.0,0.011000000163912773,0.04667976076351785
104,0.0,0.011000000163912773,0.04667976076351784
105,0.10000000149011612,0.012000000178813934,0.04749736905591762
106,0.0,0.012000000178813934,0.04749736905591762
107,0.0,0.012000000178813934,0.04749736905591762
108,0.0,0.012000000178813934,0.04749736905591762
109,0.0,0.012000000178813934,0.04749736905591762
110,0.0,0.012000000178813934,0.04749736905591762
111,0.10000000149011612,0.013000000193715095,0.048280431537727715
112,0.0,0.013000000193715095,0.048280431537727715
113,0.0,0.012000000178813934,0.04749736905591762
114,0.0,0.012000000178813934,0.04749736905591762
115,0.0,0.012000000178813934,0.04749736905591762
116,0.10000000149011612,0.013000000193715095,0.048280431537727715
117,0.0,0.013000000193715095,0.048280431537727715
118,0.0,0.013000000193715095,0.048280431537727715
119,0.0,0.013000000193715095,0.048280431537727715
120,0.0,0.013000000193715095,0.048280431537727715
121,0.0,0.013000000193715095,0.048280431537727715
122,0.20000000298023224,0.015000000223517418,0.05172040293463706
123,0.0,0.015000000223517418,0.05172040293463706
